name	YB1_aer_MinION_count	YB1_aer_0508_count	YB1_ana_v2_count	YB1_ana_0507_count	YB1_ana_0508_count	YB1_aer_clone_0516_count	YB1_ana_clone_0516_count	SL7207_aer_0507_count	SL7207_aer_0509_count	SL7207_ana_0509_count	dAsd_aer_0511_count	dAsd_ana_0512_count	dAsd_aer_0514_count	dAsd_ana_0514_count	PW_aer_0515_count	PW_ana_0515_count	YB1_aer_MinION_cpm	YB1_aer_0508_cpm	YB1_ana_v2_cpm	YB1_ana_0507_cpm	YB1_ana_0508_cpm	YB1_aer_clone_0516_cpm	YB1_ana_clone_0516_cpm	SL7207_aer_0507_cpm	SL7207_aer_0509_cpm	SL7207_ana_0509_cpm	dAsd_aer_0511_cpm	dAsd_ana_0512_cpm	dAsd_aer_0514_cpm	dAsd_ana_0514_cpm	PW_aer_0515_cpm	PW_ana_0515_cpm
thiQ	1	3	1	8	4	2	3	1	0	5	4	5	0	2	8	1	3.51	3.50	7.21	9.61	8.05	2.33	3.62	1.38	0.00	3.87	4.50	5.41	0.00	2.12	8.40	1.10
thiP	1	2	0	5	3	2	1	0	0	13	4	6	4	4	3	1	3.51	2.34	0.00	6.01	6.04	2.33	1.21	0.00	0.00	10.07	4.50	6.49	13.28	4.24	3.15	1.10
thiB	2	2	0	5	2	2	3	2	0	11	2	3	5	1	0	3	7.02	2.34	0.00	6.01	4.02	2.33	3.62	2.77	0.00	8.52	2.25	3.24	16.59	1.06	0.00	3.29
sgrR	1	5	0	4	4	3	4	2	4	6	6	4	1	4	5	4	3.51	5.84	0.00	4.80	8.05	3.50	4.83	2.77	6.75	4.65	6.75	4.32	3.32	4.24	5.25	4.39
sgrT	6	34	4	21	27	5	13	8	6	15	9	12	5	9	5	13	21.07	39.72	28.85	25.23	54.34	5.83	15.68	11.07	10.12	11.62	10.12	12.97	16.59	9.54	5.25	14.26
leuD	1	3	1	9	5	6	2	7	14	12	3	2	2	5	5	0	3.51	3.50	7.21	10.81	10.06	7.00	2.41	9.69	23.62	9.30	3.37	2.16	6.64	5.30	5.25	0.00
leuC	1	2	0	5	0	2	1	5	5	7	1	3	1	1	3	2	3.51	2.34	0.00	6.01	0.00	2.33	1.21	6.92	8.44	5.42	1.12	3.24	3.32	1.06	3.15	2.19
leuB	0	1	0	2	3	4	1	2	7	9	2	6	0	2	2	4	0.00	1.17	0.00	2.40	6.04	4.66	1.21	2.77	11.81	6.97	2.25	6.49	0.00	2.12	2.10	4.39
leuA	2	7	1	1	4	5	2	13	15	17	0	2	1	3	2	3	7.02	8.18	7.21	1.20	8.05	5.83	2.41	17.99	25.31	13.17	0.00	2.16	3.32	3.18	2.10	3.29
leuL	12	200	11	166	128	12	58	137	89	254	105	109	23	99	53	28	42.14	233.67	79.35	199.41	257.60	13.99	69.97	189.64	150.16	196.78	118.06	117.86	76.33	104.96	55.65	30.71
leuO	0	0	0	0	0	0	0	0	0	1	24	14	3	18	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.77	26.98	15.14	9.96	19.08	1.05	0.00
ilvI	2	9	0	4	2	5	5	6	7	11	5	10	3	7	4	3	7.02	10.51	0.00	4.80	4.02	5.83	6.03	8.31	11.81	8.52	5.62	10.81	9.96	7.42	4.20	3.29
